Prestatario,Población,Ciudad,Edad,Sexo,País de Origen,Propiedades,Fuentes de reembolso,Ingresos netos,Deudas pendientes,Contrato de trabajo,Antigüedad del trabajo (meses),Número de hijos,Número de personas a cargo,Pago en fecha
Pedro Oliveira,Centro,Melilla,34,Hombre,Portugal,1,Salario y Alquiler,32289,0,Fijo,155,2,1,Sí
Álvaro Castro,Este,Granada,26,Hombre,España,2,Salario y Alquiler,19651,0,Fijo,43,0,0,Sí
Raúl Sanz,Costa,Granada,37,Hombre,España,0,Salario,20018,0,Fijo,63,0,0,Sí
Cristian Delgado,Oeste,Granada,65,Hombre,España,2,Pensión y Alquiler,14303,0,Inactivo,0,0,1,Sí
Rachid El Fassi,Centro,Jaén,21,Hombre,Marruecos,0,Salario,29236,0,Fijo,13,0,0,Sí
Miguel Díaz,Costa,Granada,51,Hombre,España,3,Salario,29874,0,Fijo,266,0,0,Sí
Sofía Álvarez,Este,Granada,79,Mujer,España,0,Pensión,16366,4399,Inactivo,0,0,2,No
Ricardo Hernández,Norte,Granada,27,Hombre,España,0,Salario y Alquiler,28799,0,Fijo,61,0,0,Sí
Carla Ramos,Costa,Granada,54,Mujer,España,3,Salario,29134,0,Fijo,46,0,0,Sí
Alicia Ruiz,Este,Granada,52,Mujer,España,4,Salario y Alquiler,30525,0,Temporal,212,0,0,Sí
Marie Martin,Centro,La Rioja,23,Hombre,Francia,0,Salario,25708,2394,Fijo,17,1,0,Sí
Sophia Williams,Centro,Barcelona,76,Hombre,Reino Unido,0,Pensión y Alquiler,12242,14137,Inactivo,0,1,0,No
Isabel Gutiérrez,Norte,Granada,30,Mujer,España,0,Salario,19309,0,Fijo,30,0,0,Sí
Sophie Dubois,Centro,Badajoz,63,Mujer,Francia,1,Salario y Alquiler,27088,11372,Fijo,215,0,2,No
Sara Gutiérrez,Costa,Granada,67,Mujer,España,0,Pensión,10724,0,Inactivo,0,3,1,Sí
Javier Serrano,Este,Granada,48,Hombre,España,0,Salario,18680,0,Temporal,64,2,2,No
Luc Lefèvre,Centro,Guadalajara,57,Hombre,Francia,3,Salario y Alquiler,21586,3149,Fijo,134,2,1,Sí
Ana González,Centro,Granada,32,Mujer,España,1,Salario y Alquiler,26080,11580,Fijo,36,2,1,Sí
Laura Serrano,Este,Granada,34,Mujer,España,1,Salario,20984,0,Fijo,15,1,1,Sí
Manuel González,Este,Granada,43,Hombre,España,0,Salario y Alquiler,38833,515,Fijo,82,1,1,Sí
Antonio Muñoz,Centro,Granada,73,Hombre,España,1,Pensión y Alquiler,15204,0,Inactivo,0,0,0,Sí
Marta Sánchez,Centro,Granada,33,Mujer,España,1,Salario y Alquiler,36917,4383,Temporal,47,1,0,Sí
Mario Blanco,Centro,Granada,46,Hombre,España,1,Salario y Alquiler,20528,0,Fijo,320,1,0,Sí
Ángel Marín,Centro,Granada,34,Hombre,España,2,Salario,23865,0,Fijo,74,0,0,Sí
Fatima El Idrissi,Centro,Ceuta,71,Hombre,Marruecos,0,Pensión,12672,0,Inactivo,0,1,0,Sí
Manuel Molina,Norte,Granada,75,Hombre,España,0,Pensión,11699,3607,Inactivo,0,1,0,Sí
Pedro Oliveira,Centro,Cádiz,63,Mujer,Portugal,1,Salario,35058,4861,Fijo,439,2,0,Sí
Ana García,Norte,Granada,38,Mujer,España,0,Salario,31557,7378,Fijo,201,0,0,Sí
Cristina Delgado,Norte,Granada,30,Mujer,España,2,Salario,29824,0,Fijo,24,0,0,Sí
Beatriz García,Este,Granada,60,Mujer,España,2,Salario,25561,5812,Temporal,60,0,0,Sí
Eva Janssen,Centro,Guipúzcoa,67,Mujer,Países Bajos,0,Pensión,10262,0,Inactivo,0,0,0,Sí
Irene Alonso,Este,Granada,55,Mujer,España,3,Salario y Alquiler,26043,0,Fijo,76,1,1,Sí
Fernando Castro,Oeste,Granada,22,Hombre,España,0,Salario,27753,0,Temporal,40,0,0,Sí
Cristina Álvarez,Costa,Granada,46,Mujer,España,0,Salario,22354,1643,Temporal,21,0,0,Sí
Santiago Pérez,Este,Granada,44,Hombre,España,1,Salario,28758,544,Fijo,111,0,0,Sí
Susana Moreno,Oeste,Granada,75,Mujer,España,0,Pensión,14936,9855,Inactivo,0,0,2,No
Adrián Moreno,Centro,Granada,20,Hombre,España,2,Salario y Alquiler,22259,0,Fijo,3,2,2,No
Sanne Visser,Centro,Cádiz,66,Hombre,Países Bajos,0,Pensión y Alquiler,12148,0,Inactivo,0,4,1,Sí
Eduardo González,Este,Granada,34,Hombre,España,0,Salario y Alquiler,30657,1828,Temporal,124,0,0,Sí
Peter Wagner,Centro,Córdoba,21,Hombre,Alemania,2,Salario,28722,0,Fijo,23,1,0,Sí
Mario Domínguez,Norte,Granada,53,Hombre,España,1,Salario y Alquiler,26046,0,Temporal,356,3,0,Sí
Silvia Moreno,Norte,Granada,77,Mujer,España,0,Pensión y Alquiler,10090,0,Inactivo,0,2,0,Sí
Arthur Jacobs,Centro,Huelva,66,Hombre,Bélgica,0,Pensión y Alquiler,16303,3169,Inactivo,0,0,2,No
Carla Martín,Centro,Granada,20,Mujer,España,1,Salario y Alquiler,30326,892,Temporal,16,0,0,Sí
Cristian Ortega,Norte,Granada,70,Hombre,España,0,Pensión y Alquiler,10934,2666,Inactivo,0,0,2,No
Paula Castro,Costa,Granada,70,Mujer,España,1,Pensión y Alquiler,14385,0,Inactivo,0,0,2,No
Arthur Jacobs,Centro,Huesca,75,Mujer,Bélgica,0,Pensión,15248,825,Inactivo,0,1,0,Sí
Luis Navarro,Norte,Granada,55,Hombre,España,1,Salario y Alquiler,25279,0,Temporal,216,0,0,Sí
Raquel García,Este,Granada,47,Mujer,España,0,Salario y Alquiler,22132,807,Temporal,26,0,0,Sí
Marie Martin,Centro,Vizcaya,30,Mujer,Francia,0,Salario,27524,5671,Fijo,4,0,0,Sí
Héctor Pérez,Este,Granada,58,Hombre,España,3,Salario,28882,0,Fijo,60,2,1,Sí
Ursula Fischer,Centro,Toledo,60,Mujer,Alemania,1,Salario y Alquiler,23603,1651,Fijo,158,0,0,Sí
Eva Janssen,Centro,Córdoba,76,Mujer,Países Bajos,0,Pensión,11667,0,Inactivo,0,4,1,Sí
Francisco Serrano,Norte,Granada,73,Hombre,España,2,Pensión,16286,0,Inactivo,0,1,0,Sí
David Johnson,Centro,Lugo,51,Hombre,Reino Unido,0,Salario y Alquiler,24785,2071,Temporal,352,1,0,Sí
Irene Sánchez,Centro,Granada,20,Mujer,España,1,Salario,29025,0,Fijo,13,0,0,Sí
Antonio Martín,Oeste,Granada,46,Hombre,España,2,Salario,30094,783,Fijo,196,0,0,Sí
Raquel Martín,Costa,Granada,34,Mujer,España,3,Salario,26687,0,Fijo,29,1,0,Sí
Lucía Blanco,Norte,Granada,27,Mujer,España,1,Salario y Alquiler,27458,3535,Temporal,37,1,0,Sí
Cristian Marín,Norte,Granada,44,Hombre,España,0,Salario y Alquiler,36829,0,Fijo,24,2,2,No
Teresa Ramos,Norte,Granada,38,Mujer,España,0,Salario,26164,0,Temporal,237,0,0,Sí
Laura Hernández,Este,Granada,45,Mujer,España,2,Salario y Alquiler,19579,0,Fijo,296,1,1,Sí
Antonio Ramos,Costa,Granada,36,Hombre,España,1,Salario,38020,0,Temporal,8,2,0,Sí
Rubén López,Oeste,Granada,79,Hombre,España,0,Pensión,12871,0,Inactivo,0,1,1,Sí
Francisco Alonso,Centro,Granada,33,Hombre,España,0,Salario,30313,1172,Fijo,111,1,0,Sí
Claudia Navarro,Norte,Granada,26,Mujer,España,1,Salario y Alquiler,30196,4084,Temporal,52,0,0,Sí
Carla Rubio,Norte,Granada,40,Mujer,España,1,Salario y Alquiler,36853,8405,Temporal,93,1,0,Sí
Santiago Rubio,Costa,Granada,21,Hombre,España,0,Salario y Alquiler,25433,0,Fijo,6,0,0,Sí
James Taylor,Centro,Las Palmas,49,Hombre,Reino Unido,2,Salario,34540,0,Fijo,194,0,0,Sí
Teresa Romero,Norte,Granada,74,Mujer,España,0,Pensión y Alquiler,13705,0,Inactivo,0,2,0,Sí
Adrián Muñoz,Norte,Granada,62,Hombre,España,1,Salario y Alquiler,32600,2393,Fijo,180,3,0,Sí
Cristina Domínguez,Este,Granada,61,Mujer,España,1,Salario,20259,5657,Fijo,136,3,1,Sí
Susana Martínez,Este,Granada,62,Mujer,España,0,Salario,30656,0,Fijo,518,0,2,No
Carmen Sánchez,Costa,Granada,47,Mujer,España,0,Salario y Alquiler,35900,0,Fijo,339,1,0,Sí
Susana Alonso,Costa,Granada,60,Mujer,España,0,Salario,32223,14702,Fijo,253,0,0,Sí
Beatriz Silva,Costa,Granada,76,Mujer,España,1,Pensión,13604,0,Inactivo,0,3,0,Sí
Mario Álvarez,Costa,Granada,71,Hombre,España,0,Pensión y Alquiler,16351,3140,Inactivo,0,2,0,Sí
Francesca Conti,Centro,Palencia,42,Hombre,Italia,2,Salario,21025,1004,Fijo,177,2,1,Sí
Patricia Muñoz,Costa,Granada,72,Mujer,España,1,Pensión,15793,0,Inactivo,0,2,1,Sí
Ana Costa,Centro,Guadalajara,28,Mujer,Portugal,0,Salario,24352,0,Fijo,43,0,0,Sí
Miguel González,Este,Granada,79,Hombre,España,2,Pensión y Alquiler,16787,0,Inactivo,0,1,0,Sí
Roberto Carrasco,Centro,Granada,38,Hombre,España,1,Salario,25421,0,Fijo,89,1,0,Sí
Paula Gómez,Costa,Granada,21,Mujer,España,1,Salario,32852,2950,Fijo,0,0,0,Sí
Luis Rodríguez,Este,Granada,24,Hombre,España,0,Salario,33370,8321,Fijo,57,2,0,Sí
Fernando Carrasco,Costa,Granada,33,Hombre,España,0,Salario,28724,0,Fijo,153,0,0,Sí
Eduardo Reyes,Centro,Granada,62,Hombre,España,0,Salario,32595,1539,Fijo,32,2,1,Sí
Fernando Delgado,Este,Granada,33,Hombre,España,1,Salario,34472,0,Fijo,150,0,0,Sí
Adrián Muñoz,Este,Granada,63,Hombre,España,1,Salario,37961,0,Fijo,70,0,2,No
Carlos Medina,Norte,Granada,32,Hombre,España,0,Salario y Alquiler,35326,0,Temporal,13,1,1,Sí
Ángel Martínez,Oeste,Granada,51,Hombre,España,1,Salario,30110,3450,Fijo,197,1,0,Sí
Youssef Othmani,Centro,Madrid,74,Mujer,Marruecos,0,Pensión y Alquiler,11078,2911,Inactivo,0,3,0,Sí
Sara Delgado,Norte,Granada,68,Mujer,España,2,Pensión y Alquiler,17977,3447,Inactivo,0,1,0,Sí
Fernando Molina,Norte,Granada,48,Hombre,España,2,Salario y Alquiler,20846,0,Fijo,105,3,2,No
Susana Vázquez,Costa,Granada,64,Mujer,España,0,Salario y Alquiler,35715,2765,Temporal,252,0,1,Sí
Susana Silva,Centro,Granada,37,Mujer,España,0,Salario y Alquiler,36257,0,Fijo,17,0,0,Sí
Juan Muñoz,Norte,Granada,59,Hombre,España,2,Salario,27370,0,Fijo,307,1,1,Sí
Francisco Serrano,Centro,Granada,66,Hombre,España,4,Pensión,16910,3780,Inactivo,0,0,1,Sí
Alicia Cruz,Oeste,Granada,38,Mujer,España,0,Salario,34993,0,Fijo,210,0,0,Sí
Raquel Romero,Norte,Granada,49,Mujer,España,0,Salario,21226,0,Temporal,190,1,1,Sí
Roberto Iglesias,Costa,Granada,62,Hombre,España,2,Salario,38769,0,Fijo,239,0,0,Sí
Eduardo Medina,Oeste,Granada,33,Hombre,España,0,Salario,22536,0,Fijo,58,2,2,No
Manuel Sánchez,Oeste,Granada,23,Hombre,España,0,Salario y Alquiler,33707,3561,Fijo,1,0,0,Sí
Francisco Hernández,Este,Granada,48,Hombre,España,0,Salario y Alquiler,29917,0,Fijo,133,2,0,Sí
Jean Dupont,Centro,Ávila,64,Mujer,Francia,0,Salario,33639,991,Fijo,315,1,0,Sí
Isabel Medina,Oeste,Granada,38,Mujer,España,0,Salario,26307,4378,Temporal,98,0,0,Sí
Marta Iglesias,Este,Granada,77,Mujer,España,2,Pensión,15134,0,Inactivo,0,1,0,Sí
Mohamed Ben Ali,Centro,Asturias,59,Mujer,Marruecos,1,Salario y Alquiler,21067,0,Fijo,18,3,1,Sí
Adrián Fernández,Oeste,Granada,47,Hombre,España,0,Salario y Alquiler,21175,4447,Fijo,125,0,0,Sí
Elena Ramírez,Este,Granada,58,Mujer,España,2,Salario y Alquiler,30757,0,Fijo,268,0,0,Sí
Pilar Álvarez,Norte,Granada,23,Mujer,España,2,Salario,23546,4173,Fijo,17,1,0,Sí
Simon Baumann,Centro,Castellón,61,Mujer,Suiza,1,Salario,34869,0,Temporal,237,3,0,Sí
Pablo Álvarez,Oeste,Granada,50,Hombre,España,0,Salario y Alquiler,20285,6988,Fijo,128,0,0,Sí
Héctor López,Norte,Granada,29,Hombre,España,2,Salario,17085,547,Fijo,107,2,0,Sí
Youssef Othmani,Centro,Cantabria,27,Hombre,Marruecos,0,Salario,25781,12074,Fijo,59,2,0,Sí
Antonio Reyes,Costa,Granada,75,Hombre,España,0,Pensión,16041,0,Inactivo,0,2,0,Sí
Ana González,Centro,Granada,22,Mujer,España,2,Salario,30330,0,Temporal,25,0,0,Sí
Sophie Dubois,Centro,Ceuta,69,Hombre,Francia,1,Pensión y Alquiler,10763,4446,Inactivo,0,0,1,Sí
Carmen Gutiérrez,Centro,Granada,52,Mujer,España,2,Salario y Alquiler,29431,904,Fijo,274,0,0,Sí
Francisco Gutiérrez,Costa,Granada,35,Hombre,España,0,Salario y Alquiler,30020,6476,Temporal,137,0,0,Sí
Roberto Ramírez,Oeste,Granada,67,Hombre,España,0,Pensión,13344,2948,Inactivo,0,1,0,Sí
María Álvarez,Este,Granada,42,Mujer,España,1,Salario,34680,4115,Temporal,235,0,0,Sí
Fernando Alonso,Norte,Granada,72,Hombre,España,2,Pensión,14413,0,Inactivo,0,0,2,No
David Johnson,Centro,La Coruña,66,Mujer,Reino Unido,1,Pensión,11391,0,Inactivo,0,0,1,Sí
Raquel Ruiz,Costa,Granada,44,Mujer,España,1,Salario,24469,0,Temporal,121,0,0,Sí
Ursula Fischer,Centro,Cáceres,66,Mujer,Alemania,0,Pensión,11985,3800,Inactivo,0,3,1,Sí
Juan Gómez,Centro,Granada,41,Hombre,España,1,Salario,27060,2935,Fijo,5,0,0,Sí
Ricardo Blanco,Centro,Granada,53,Hombre,España,0,Salario y Alquiler,30540,0,Temporal,222,1,1,Sí
Raúl Domínguez,Norte,Granada,43,Hombre,España,3,Salario y Alquiler,19834,0,Fijo,110,0,0,Sí
Andrea Medina,Norte,Granada,55,Mujer,España,1,Salario y Alquiler,21746,841,Fijo,118,1,1,Sí
Ursula Fischer,Centro,Sevilla,68,Mujer,Alemania,0,Pensión,15864,4355,Inactivo,0,0,1,Sí
Diego García,Oeste,Granada,62,Hombre,España,0,Salario y Alquiler,37688,3681,Temporal,144,2,1,Sí
Francesca Conti,Centro,Ceuta,20,Hombre,Italia,0,Salario y Alquiler,35912,8630,Fijo,18,2,1,Sí
Raquel Carrasco,Oeste,Granada,23,Mujer,España,0,Salario,32222,10341,Fijo,20,0,0,Sí
Irene Molina,Oeste,Granada,66,Mujer,España,2,Pensión,15432,14268,Inactivo,0,2,0,Sí
Carla Castro,Centro,Granada,27,Mujer,España,1,Salario,19010,1153,Fijo,87,1,0,Sí
Raquel Marín,Este,Granada,79,Mujer,España,0,Pensión,17454,0,Inactivo,0,1,0,Sí
Tom de Vries,Centro,Castellón,56,Mujer,Países Bajos,0,Salario y Alquiler,21771,4399,Fijo,402,1,0,Sí
Javier Rodríguez,Centro,Granada,77,Hombre,España,1,Pensión y Alquiler,18248,627,Inactivo,0,2,0,Sí
Lukas Weber,Centro,Zaragoza,60,Hombre,Suiza,0,Salario,19727,6700,Temporal,17,4,0,Sí
Pablo Carrasco,Este,Granada,51,Hombre,España,1,Salario y Alquiler,32954,0,Fijo,132,2,0,Sí
Silvia Domínguez,Oeste,Granada,62,Mujer,España,1,Salario,32900,0,Fijo,287,2,1,Sí
Carla Fernández,Norte,Granada,52,Mujer,España,0,Salario y Alquiler,36834,0,Fijo,81,2,0,Sí
Santiago González,Este,Granada,67,Hombre,España,1,Pensión,15868,4592,Inactivo,0,1,0,Sí
Claudia Domínguez,Este,Granada,65,Mujer,España,2,Pensión,13263,6372,Inactivo,0,1,0,Sí
Sophie Dubois,Centro,Castellón,71,Mujer,Francia,0,Pensión,14020,4102,Inactivo,0,2,1,Sí
Sofía Martín,Costa,Granada,25,Mujer,España,0,Salario,20846,0,Fijo,69,0,0,Sí
Sophia Williams,Centro,Salamanca,31,Mujer,Reino Unido,0,Salario,25067,0,Temporal,109,0,0,Sí
Cristina Fernández,Costa,Granada,28,Mujer,España,2,Salario y Alquiler,21865,3243,Temporal,118,1,1,Sí
Lina De Smet,Centro,Jaén,26,Mujer,Bélgica,1,Salario,28172,1452,Fijo,2,0,0,Sí
Anna Schmidt,Centro,Asturias,28,Hombre,Alemania,1,Salario y Alquiler,34867,4342,Fijo,66,0,0,Sí
Rubén García,Norte,Granada,29,Hombre,España,0,Salario,30917,3005,Temporal,113,0,0,Sí
Alicia Ortega,Centro,Granada,67,Mujer,España,1,Pensión y Alquiler,13962,766,Inactivo,0,1,1,Sí
João Silva,Centro,León,43,Hombre,Portugal,0,Salario y Alquiler,25309,0,Temporal,63,2,1,Sí
Irene Domínguez,Centro,Granada,40,Mujer,España,0,Salario,32475,0,Temporal,215,0,0,Sí
Teresa Muñoz,Costa,Granada,77,Mujer,España,0,Pensión,11931,2491,Inactivo,0,0,0,Sí
Laura Schmid,Centro,Las Palmas,43,Mujer,Suiza,4,Salario,29596,0,Fijo,47,0,0,Sí
Lucía Serrano,Centro,Granada,65,Mujer,España,0,Pensión y Alquiler,12099,2096,Inactivo,0,0,0,Sí
Luis Gutiérrez,Oeste,Granada,45,Hombre,España,1,Salario,18788,10826,Fijo,159,0,0,Sí
Ángel Hernández,Este,Granada,50,Hombre,España,2,Salario y Alquiler,37819,0,Fijo,79,0,0,Sí
Lucía Iglesias,Oeste,Granada,26,Mujer,España,0,Salario,36619,0,Fijo,55,0,0,Sí
Eva Janssen,Centro,Guipúzcoa,43,Mujer,Países Bajos,1,Salario,35575,0,Fijo,153,3,0,Sí
Héctor Vázquez,Oeste,Granada,76,Hombre,España,0,Pensión,11802,0,Inactivo,0,1,0,Sí
Roberto Ortega,Costa,Granada,74,Hombre,España,0,Pensión,16664,0,Inactivo,0,1,0,Sí
Ana Costa,Centro,Ceuta,25,Mujer,Portugal,0,Salario,28851,9504,Temporal,62,0,0,Sí
Fabian Keller,Centro,Cáceres,68,Hombre,Suiza,2,Pensión y Alquiler,11979,652,Inactivo,0,0,2,No
Lina De Smet,Centro,Salamanca,76,Hombre,Bélgica,0,Pensión,17039,0,Inactivo,0,0,1,Sí
Inés Ramos,Oeste,Granada,45,Mujer,España,0,Salario,29876,10263,Fijo,64,1,0,Sí
Héctor Ortiz,Este,Granada,72,Hombre,España,0,Pensión y Alquiler,14241,0,Inactivo,0,0,1,Sí
Cristina Jiménez,Oeste,Granada,59,Mujer,España,2,Salario,35177,8495,Fijo,149,0,0,Sí
Javier García,Costa,Granada,21,Hombre,España,1,Salario y Alquiler,22119,1956,Fijo,16,0,0,Sí
Álvaro Muñoz,Norte,Granada,60,Hombre,España,0,Salario y Alquiler,20208,0,Temporal,327,1,1,Sí
Sara Serrano,Centro,Granada,65,Mujer,España,0,Pensión,13954,3574,Inactivo,0,0,2,No
Teresa Cruz,Centro,Granada,80,Mujer,España,1,Pensión y Alquiler,13612,13159,Inactivo,0,3,1,Sí
María Ortiz,Oeste,Granada,33,Mujer,España,1,Salario y Alquiler,35559,9234,Fijo,156,2,0,Sí
Teresa Vázquez,Este,Granada,48,Mujer,España,4,Salario,22943,0,Fijo,198,0,0,Sí
Nina Meier,Centro,Álava,76,Hombre,Suiza,0,Pensión,10905,0,Inactivo,0,0,2,No
Diego Gil,Costa,Granada,50,Hombre,España,0,Salario y Alquiler,37720,0,Temporal,171,1,0,Sí
Rosa Ortiz,Costa,Granada,57,Mujer,España,0,Salario y Alquiler,20827,0,Fijo,259,1,0,Sí
Giulia Bianchi,Centro,Castellón,48,Hombre,Italia,0,Salario,37270,1114,Temporal,109,1,1,Sí
Carmen Vázquez,Oeste,Granada,27,Mujer,España,0,Salario y Alquiler,22489,0,Fijo,67,0,0,Sí
Patricia Ramos,Norte,Granada,38,Mujer,España,0,Salario y Alquiler,37302,2656,Fijo,126,0,0,Sí
Sara Muñoz,Oeste,Granada,49,Mujer,España,2,Salario y Alquiler,32494,3702,Fijo,231,2,1,Sí
Santiago Navarro,Oeste,Granada,64,Hombre,España,0,Salario y Alquiler,29338,0,Fijo,486,3,1,Sí
Héctor Reyes,Centro,Santa Cruz de Tenerife,71,Hombre,España,1,Pensión,16174,0,Inactivo,0,0,2,No
Irene Domínguez,Centro,Granada,32,Mujer,España,2,Salario y Alquiler,31930,0,Fijo,126,0,0,Sí
Eva Sanz,Oeste,Granada,31,Mujer,España,3,Salario y Alquiler,30991,0,Fijo,19,1,0,Sí
Santiago Muñoz,Centro,Ourense,79,Hombre,España,0,Pensión y Alquiler,16637,2683,Inactivo,0,2,0,Sí
Irene Reyes,Norte,Granada,57,Mujer,España,3,Salario,38319,0,Fijo,129,1,1,Sí
Patricia Muñoz,Centro,Granada,61,Mujer,España,1,Salario y Alquiler,18181,2736,Fijo,310,2,1,Sí
Cristina Ramos,Centro,Granada,52,Mujer,España,1,Salario y Alquiler,25966,2624,Fijo,129,1,1,Sí
Hans Müller,Centro,Granada,67,Hombre,Alemania,1,Pensión y Alquiler,11518,1281,Inactivo,0,0,2,No
Francisco Moreno,Norte,Granada,79,Hombre,España,0,Pensión y Alquiler,10793,2817,Inactivo,0,1,1,Sí
Lina De Smet,Centro,Guadalajara,41,Mujer,Bélgica,1,Salario,32798,0,Fijo,46,1,1,Sí
Fernando González,Centro,Granada,43,Hombre,España,2,Salario,33943,0,Temporal,151,2,2,No
Inés Martín,Centro,Palencia,67,Mujer,España,1,Pensión y Alquiler,14942,4996,Inactivo,0,3,1,Sí
Teresa Ortiz,Costa,Granada,37,Mujer,España,4,Salario y Alquiler,34353,0,Fijo,165,1,0,Sí
Ursula Fischer,Centro,Guipúzcoa,42,Mujer,Alemania,1,Salario,20908,0,Temporal,28,1,0,Sí
Sara Muñoz,Este,Granada,24,Mujer,España,1,Salario,35941,0,Fijo,18,1,1,Sí
Roberto Medina,Este,Granada,68,Hombre,España,1,Pensión,13322,3067,Inactivo,0,0,0,Sí
Andrea Moreno,Norte,Granada,59,Mujer,España,0,Salario y Alquiler,31890,4614,Temporal,194,0,0,Sí
Jean Dupont,Centro,Santa Cruz de Tenerife,61,Mujer,Francia,0,Salario,34200,0,Temporal,301,3,0,Sí
Ángel Carrasco,Costa,Granada,61,Hombre,España,1,Salario,24691,1679,Fijo,6,1,0,Sí
Carla Ruiz,Norte,Granada,26,Mujer,España,0,Salario y Alquiler,31782,930,Temporal,18,0,0,Sí
Rachid El Fassi,Centro,Ávila,54,Mujer,Marruecos,1,Salario y Alquiler,25880,0,Fijo,171,0,0,Sí
Irene Vázquez,Oeste,Granada,54,Mujer,España,0,Salario,29795,0,Fijo,269,2,0,Sí
Julia Muñoz,Costa,Granada,52,Mujer,España,0,Salario y Alquiler,26465,770,Temporal,109,2,1,Sí
Mario Fernández,Centro,Granada,75,Hombre,España,1,Pensión y Alquiler,12740,0,Inactivo,0,4,1,Sí
Adrián González,Este,Granada,51,Hombre,España,0,Salario y Alquiler,31588,3316,Temporal,389,0,0,Sí
Inés Reyes,Este,Granada,49,Mujer,España,0,Salario y Alquiler,36246,0,Fijo,318,1,0,Sí
Marco Rossi,Centro,Segovia,78,Hombre,Italia,1,Pensión y Alquiler,11928,0,Inactivo,0,0,2,No
